GM10 IC AXIAL
PERFORM ELEMENT RESULT TIME HISTORIES
Structure = Aitana2022  (Aitana 2022 For Production)
Analysis Series = GM10  (S Aloha)
Load Case =, [2] = [1] + S Aloha
Element level result type =, Axial Force at I                    
Units =, kN, m
Element group number =, 5, group name =, Inclined Columns
Column 1 =, time (sec) or max/min indicator
Column, 2, = element number, 1, in group with node I = node, 4613, at,  16.2, -10.05,  34.3
Column, 3, = element number, 2, in group with node I = node, 4656, at,  15.894, -10.05,  35.95
Column, 4, = element number, 3, in group with node I = node, 4657, at,  15.589, -10.05,  37.6
Column, 5, = element number, 4, in group with node I = node, 4658, at,  15.274, -10.05,  39.3
Column, 6, = element number, 5, in group with node I = node, 4557, at,  16.2, -2.65,  34.266
Column, 7, = element number, 6, in group with node I = node, 4659, at,  15.894, -2.65,  35.95
Column, 8, = element number, 7, in group with node I = node, 4660, at,  15.589, -2.65,  37.6
Column, 9, = element number, 8, in group with node I = node, 4661, at,  15.274, -2.65,  39.3
Column, 10, = element number, 9, in group with node I = node, 4620, at,  16.2,  9.55,  32.878
Column, 11, = element number, 10, in group with node I = node, 4704, at,  15.976,  9.55,  34.3
Column, 12, = element number, 11, in group with node I = node, 4705, at,  15.716,  9.55,  35.95
Column, 13, = element number, 12, in group with node I = node, 4706, at,  15.456,  9.55,  37.6
Column, 14, = element number, 13, in group with node I = node, 4707, at,  15.188,  9.55,  39.3
Column, 15, = element number, 14, in group with node I = node, 4617, at,  16.2,  2.65,  33.663
Column, 16, = element number, 15, in group with node I = node, 4708, at,  16.091,  2.65,  34.3
Column, 17, = element number, 16, in group with node I = node, 4709, at,  15.807,  2.65,  35.95
Column, 18, = element number, 17, in group with node I = node, 4710, at,  15.524,  2.65,  37.6
Column, 19, = element number, 18, in group with node I = node, 4711, at,  15.232,  2.65,  39.3
 .48,-20085,-20020,-19303,-19213,-16868,-16812,-16271,-16190,-29814,-29740,-28840,-28682,-28679,-18031,-17992,-18047,-17834,-17752
 .5,-20107,-20042,-19324,-19234,-16876,-16819,-16279,-16198,-29814,-29740,-28839,-28683,-28679,-18033,-17994,-18048,-17835,-17754
 .52,-20130,-20065,-19347,-19256,-16884,-16828,-16288,-16206,-29812,-29738,-28837,-28682,-28676,-18034,-17995,-18050,-17837,-17755
 .54,-20154,-20089,-19370,-19280,-16893,-16837,-16297,-16215,-29809,-29735,-28834,-28680,-28673,-18034,-17995,-18051,-17837,-17756
 .56,-20178,-20113,-19394,-19303,-16902,-16845,-16306,-16224,-29806,-29732,-28831,-28678,-28670,-18035,-17996,-18051,-17838,-17757
 .58,-20202,-20137,-19417,-19327,-16910,-16853,-16314,-16233,-29803,-29729,-28829,-28676,-28667,-18035,-17996,-18052,-17838,-17757
 .6,-20226,-20161,-19441,-19351,-16918,-16862,-16323,-16242,-29799,-29725,-28825,-28673,-28663,-18035,-17996,-18052,-17838,-17757
 .62,-20252,-20186,-19467,-19376,-16927,-16871,-16333,-16252,-29791,-29717,-28819,-28667,-28656,-18033,-17994,-18051,-17837,-17755
 .64,-20277,-20212,-19493,-19403,-16938,-16882,-16344,-16263,-29780,-29706,-28809,-28656,-28645,-18029,-17990,-18049,-17834,-17752
 .66,-20302,-20237,-19520,-19429,-16950,-16893,-16356,-16275,-29765,-29691,-28795,-28642,-28630,-18024,-17985,-18045,-17828,-17747
 .68,-20325,-20260,-19545,-19454,-16961,-16905,-16367,-16286,-29746,-29672,-28778,-28624,-28612,-18016,-17977,-18038,-17822,-17740
 .7,-20344,-20279,-19567,-19477,-16972,-16915,-16377,-16296,-29726,-29652,-28760,-28604,-28593,-18007,-17968,-18031,-17813,-17732
 .72,-20358,-20292,-19585,-19494,-16979,-16922,-16385,-16303,-29706,-29633,-28742,-28584,-28574,-17997,-17959,-18022,-17803,-17722
 .74,-20364,-20299,-19596,-19505,-16983,-16927,-16389,-16308,-29687,-29614,-28726,-28565,-28557,-17987,-17948,-18012,-17793,-17711
 .76,-20364,-20298,-19600,-19509,-16985,-16928,-16391,-16309,-29669,-29595,-28710,-28546,-28540,-17975,-17936,-18002,-17781,-17700
 .78,-20354,-20289,-19595,-19505,-16984,-16927,-16389,-16308,-29649,-29575,-28693,-28526,-28523,-17962,-17923,-17990,-17768,-17687
 .8,-20335,-20270,-19582,-19492,-16981,-16924,-16386,-16304,-29628,-29554,-28675,-28503,-28504,-17947,-17909,-17977,-17754,-17672
 .82,-20306,-20241,-19560,-19469,-16974,-16918,-16379,-16297,-29605,-29531,-28655,-28478,-28483,-17931,-17892,-17962,-17737,-17656
 .84,-20266,-20200,-19527,-19436,-16964,-16908,-16368,-16286,-29581,-29507,-28634,-28452,-28462,-17913,-17875,-17945,-17719,-17637
 .86,-20213,-20148,-19482,-19391,-16949,-16892,-16352,-16270,-29557,-29483,-28614,-28425,-28441,-17895,-17856,-17927,-17699,-17618
 .88,-20147,-20081,-19423,-19333,-16928,-16871,-16330,-16249,-29535,-29461,-28595,-28400,-28422,-17875,-17836,-17908,-17679,-17597
 .9,-20066,-20001,-19351,-19260,-16903,-16846,-16305,-16223,-29513,-29440,-28578,-28375,-28404,-17855,-17816,-17888,-17657,-17575
 .92,-19974,-19909,-19266,-19175,-16875,-16818,-16276,-16195,-29491,-29417,-28559,-28349,-28386,-17833,-17794,-17867,-17634,-17552
